fund,offer,redeem,inv1,inv2
003453.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003454.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003455.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003456.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003457.OF,"[[[inf], [1000.0]], [[inf], [0.6]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003458.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.005, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003459.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003460.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003461.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003462.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003463.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003464.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003465.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003466.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003467.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003468.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003469.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003470.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003471.OF,"[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]]","[[7, 30, 365, inf], [0.015, 0.005, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003472.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.004, 0.0]]",['普通投资群体'],['普通投资群体']
003473.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003474.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003475.OF,"[[100.0, 500.0, inf], [0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003476.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 30, 180, 360, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
003477.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003478.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003479.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003480.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003481.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003482.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003483.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003484.OF,"[[100.0, 200.0, 500.0, inf], [0.01, 0.0075, 0.005, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003485.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003486.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003487.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003488.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003490.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003491.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003492.OF,"[[50.0, 250.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 366, 731, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003493.OF,"[[[10.0, 50.0, 100.0, inf], [0.007, 0.005, 0.003, 300.0]], [[10.0, 50.0, 100.0, inf], [0.0021, 0.0015, 0.0009, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003494.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003495.OF,"[[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.006, 0.003, 0.0006, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003496.OF,"[[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.006, 0.003, 0.0006, 1000.0]]]","[[7, 30, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003497.OF,"[[[50.0, 100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.005, 0.003, 1000.0]], [[50.0, 100.0, 200.0, 500.0, inf], [0.0024, 0.0018, 0.0015, 0.0009, 1000.0]]]","[[7, 30, inf], [0.015, 0.01, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003498.OF,"[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003499.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003500.OF,"[[100.0, 500.0, inf], [0.006, 0.004, 1000.0]]","[[7, 181, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003501.OF,"[[[100.0, 250.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 250.0, 500.0, inf], [0.0037, 0.0025, 0.0015, 1000.0]]]","[[6, 29, 179, 365, inf], [0.015, 0.0075, 0.005, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003502.OF,"[[100.0, 200.0, 500.0, inf], [0.01, 0.0075, 0.005, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003503.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003504.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0024, 0.0012, 1000.0]]]","[[7, 60, inf], [0.015, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003505.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
003506.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003507.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003508.OF,"[[500.0, 1000.0, inf], [0.015, 0.01, 1000.0]]","[[0, 0, 0, 0, 0, inf], [0.025, 0.02, 0.015, 0.01, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003509.OF,"[[inf], [0.0]]","[[0, 0, 0, 0, 0, inf], [0.025, 0.02, 0.015, 0.01, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003510.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0024, 0.0015, 0.0009, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003511.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003512.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003513.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003514.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003515.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003516.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003517.OF,"[[[inf], [1000.0]], [[inf], [0.6]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003518.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003519.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003520.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 30, inf], [0.015, 0.01, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003521.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
003522.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003523.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003524.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003525.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003526.OF,"[[[50.0, 100.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[7, 90, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003527.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003528.OF,"[[[100.0, 500.0, inf], [0.006, 0.003, 1000.0]], [[100.0, 500.0, inf], [0.0024, 0.0012, 1000.0]]]","[[7, 31, inf], [0.015, 0.0075, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003529.OF,"[[inf], [0.0]]","[[7, 31, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
003530.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003531.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003532.OF,"[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003533.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003534.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003535.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003536.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003537.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003538.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003539.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003541.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003542.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003545.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
003546.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0016, 0.001, 0.0006, 1000.0]]]","[[6, 364, 729, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003547.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003548.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003549.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003550.OF,"[[inf], [0.0]]","[[7, 29, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003551.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003552.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003553.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003554.OF,"[[inf], [0.0]]","[[7, 29, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003555.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003556.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003557.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003558.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003559.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003560.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003561.OF,"[[100.0, 500.0, inf], [0.012, 0.01, 1000.0]]","[[7, 30, 365, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003562.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003563.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003564.OF,"[[[50.0, 300.0, 500.0, inf], [0.006, 0.003, 0.0008, 1000.0]], [[50.0, 300.0, 500.0, inf], [0.0006, 0.0003, 0.0001, 100.0]]]","[[7, 90, inf], [0.015, 0.006, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003565.OF,"[[inf], [0.0]]","[[7, 90, inf], [0.015, 0.006, 0.0]]",['普通投资群体'],['普通投资群体']
003566.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 90, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003567.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 30, 365, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003568.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003569.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003570.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003571.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003572.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003573.OF,"[[100.0, 500.0, inf], [0.006, 0.003, 1000.0]]","[[7, 90, inf], [0.015, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003574.OF,"[[[100.0, 300.0, 500.0, inf], [0.006, 0.003, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0012, 0.0006, 0.0004, 1000.0]]]","[[7, 180, inf], [0.015, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003575.OF,"[[[100.0, 300.0, 500.0, inf], [0.006, 0.003, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0012, 0.0006, 0.0004, 1000.0]]]","[[7, 180, inf], [0.015, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003576.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003577.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003578.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003579.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003580.OF,"[[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]], [[100.0, 500.0, inf], [0.0045, 0.003, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003581.OF,"[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003582.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003583.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, 90, inf], [0.015, 0.0075, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003584.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
003585.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003586.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003587.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003588.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003589.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
003590.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 30, 90, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003591.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.003, 0.0025, 0.002, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003592.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003593.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003594.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0024, 0.0018, 0.0012, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003595.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003596.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003597.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003598.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003601.OF,"[[[10.0, 50.0, 100.0, inf], [0.007, 0.005, 0.003, 300.0]], [[10.0, 50.0, 100.0, inf], [0.0021, 0.0015, 0.0009, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003602.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003603.OF,"[[[100.0, 200.0, 500.0, inf], [0.01, 0.008, 0.004, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.001, 0.0008, 0.0004, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003604.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003605.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0024, 0.0012, 1000.0]]]","[[7, 30, inf], [0.015, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
003606.OF,"[[20.0, 40.0, 100.0, inf], [0.008, 0.005, 0.003, 200.0]]","[[7, 365, 730, inf], [0.015, 0.01, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003607.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 90, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003610.OF,"[[100.0, 500.0, 1000.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003611.OF,"[[inf], [0.0]]","[[7, 365, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003612.OF,"[[100.0, 500.0, 1000.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003613.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003614.OF,"[[50.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 180, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003615.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
003616.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003617.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003618.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003619.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
003620.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003621.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003622.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003623.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003624.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.008, 0.003, 1000.0]]","[[7, 30, 180, 365, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003625.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
003626.OF,"[[50.0, 200.0, 500.0, inf], [0.008, 0.005, 0.001, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
003627.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003628.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
003629.OF,"[[500.0, 1000.0, inf], [0.015, 0.01, 1000.0]]","[[7, 30, 365, 730, 1095, inf], [0.015, 0.0075, 0.005, 0.0035, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003630.OF,"[[100.0, 200.0, inf], [0.015, 0.01, 200.0]]","[[7, 30, 365, 730, 1095, inf], [0.015, 0.0075, 0.005, 0.0035, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003631.OF,"[[100.0, 200.0, inf], [0.015, 0.01, 200.0]]","[[7, 30, 365, 730, 1095, inf], [0.015, 0.0075, 0.005, 0.0035, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
003632.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003633.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
003634.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
