fund,offer,redeem,inv1,inv2
008134.OF,"[[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]], [[100.0, 500.0, inf], [0.006, 0.003, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008135.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.006, 1000.0]]","[[7, 30, 180, 365, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008136.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008137.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008138.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008139.OF,"[[[100.0, 500.0, inf], [0.003, 0.002, 1000.0]], [[100.0, 500.0, inf], [0.0006, 0.0004, 1000.0]]]","[[30, inf], [0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008140.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008141.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008142.OF,"[[[300.0, 500.0, inf], [0.004, 0.0015, 1000.0]], [[inf], [100.0]]]","[[7, 365, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008143.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008144.OF,"[[100.0, 500.0, inf], [0.01, 0.008, 1000.0]]","[[180, inf], [0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008145.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.005, 1000.0]]","[[30, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
008146.OF,"[[100.0, 200.0, 500.0, inf], [0.003, 0.002, 0.001, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008147.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008149.OF,"[[[100.0, 500.0, inf], [0.012, 0.008, 1000.0]], [[100.0, 500.0, inf], [0.0012, 0.0008, 1000.0]]]","[[7, 30, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008156.OF,"[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.0015, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008157.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008158.OF,"[[100.0, 500.0, inf], [0.012, 0.008, 1000.0]]","[[100, 200, inf], [0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008159.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
